Question 1,Question 2,Question 3,Question 4
General Version,Excerpt,General Version,(1) Contract
(1)     Yes,,(1) Satisfactory,(2) Privacy Policy
(2)     No,,(2) Partially satisfactory,(3) Promotion Rules
(3)     Absent Information,,(3) Unsatisfactory,(4) Contract + Priv Policy
(4)   Non-applicable ,,,(5) Contract + Prom Rules
,,,
Version for Q2,,,(6) Priv Policy + Prom Rules
"(1)     Yes, with a proprietary tool",,Version for L1 - L7,(7) Contract + Priv Policy + Prom Rules
"(2)     Yes, with an open tool",,(1) Satisfactory,(8) None
(3)     No,,(2) Partially satisfactory,(9) NA
(4)     Absent information,,(3) Unsatisfactory,
,,(4) Absent information ,
Version Q3,,,
(1)     Not adopted,,,
(2)     Adopted,,,
