,General Information,Algar,Claro,Oi,Sercomtel,Sky,Tim,Vivo
M1,Corporate name,Algar Telecom,Claro S.A.,Telemar Norte Leste S.A.,SERCOMTEL S.A. - TELECOMUNICAÇÕES,SKY SERVIÇOS DE BANDA LARGA LTDA,"TIM CELULAR S/A.,","TELEFÔNICA BRASIL S.A., "
M2,Link for terms of use,"
https://www.algartelecom.com.br/para-voce/atendimento/contratos
https://www.algartelecom.com.br/politicadePrivacidade.html
https://algartelecom.com.br/para-voce/atendimento/regulamentos","http://www.netcombo.com.br/minha-net/contratos-e-regulamentos
http://www.netcombo.com.br/documentos/CONTRATO-NET-VIRTUA---Claro-S.A.---S%C3%83O-PAULO-1374091908318.pdf
http://www.netcombo.com.br/documentos/PLANO-DE-SERVI%C3%87O-BL_10M_Final-1374091844454.pdf
http://www.netcombo.com.br/documentos/PLANO-DE-SERVI%C3%87O-BL_2M-IP_Final-1374091844469.pdf
http://www.netcombo.com.br/politica-de-privacidade","http://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oivelox_regs/Regulamento_Banda_Larga_R1.pdf
http://www.oi.com.br/ArquivosEstaticos/oi/docs/pdf/oivelox_regs/contrato-de-adesao-banda-larga-da-oi-residencial-r1-b2c.pdf
http://www.oi.com.br/oi/sobre-a-oi/empresa/informacoes/politica-de-uso-aceitavel
http://www.oi.com.br/oi/sobre-a-oi/empresa/informacoes/politica-de-seguranca-informacao","http://prodweb.sercomtel.com.br/sistemas/portalBandaLarga/res/documentos/contrato_supervia.pdf ou http://www.sercomtel.com.br/portalSercomtel/bandalarga.planoIdeal.do
http://prodweb.sercomtel.com.br/sistemas/portalBandaLarga/res/documentos/anexo_ideal.pdf
http://prodweb.sercomtel.com.br/sistemas/portalBandaLarga/res/documentos/regulamento_banda_larga_ideal_concessionaria.pdf
https://aplweb.sercomtel.com.br/areaCliente/politicaPrivacidade.do","
http://www.skybandalarga.com.br/Content/pdf/condicoes.pdf
https://www.sky.com.br/contratos
https://digitalapi.sky.com.br/media/site/SUM%C3%81RIO%20BL%2020092016.pdf
https://www.sky.com.br/politica-de-privacidade","http://www.tim.com.br/Portal_Conteudo/_staticfiles/dpmFiles/pdf/Contrato%20de%20Presta%C3%A7%C3%A3o%20de%20Servi%C3%A7os%20Live%20TIM.pdf
http://www.tim.com.br/Portal_Conteudo/_staticfiles/dpmFiles/pdf/Regulamento%20Live%20TIM.pdf","http://www.vivo.com.br/consumo/groups/public/documents/documentopw/contrib_102096.pdf?_ga=1.116517382.1401368986.1487004065
https://www.vivo.com.br/consumo/groups/public/documents/documentopw/contrib_102074.pdf
https://www.vivo.com.br/consumo/groups/public/documents/documentopw/contrib_102095.pdf
http://www.vivo.com.br/portalweb/appmanager/env/web?_nfpb=true&_nfls=false&_pageLabel=vivoVivoInstPrivacidadePage#"
M3,Link's lable,"Banda Larga para velocidades igual ou inferior a 10MB
Planos de Banda Larga para as velocidades superiores a 10MB
Política de Privacidade
Regulamento Baixa Competição Ligado 8","Contrato Net Virtua
POLÍTICA DE PRIVACIDADE
BANDA LARGA
10 Mega
BANDA LARGA
2 Mega IP (Internet Popular)
","Política de segurança da informação
Política de uso aceitável
SUMÁRIO DE CONTRATAÇÃO E REGULAMENTO DA PROMOÇÃO BANDA LARGA DA OI
CONTRATO DE ADESÃO À BANDA LARGA DA OI CATEGORIA RESIDENCIAL","Leia o Contrato de Adesão
Leia o Anexo Contratual da Banda Larga Ideal
Leia o Regulamento Banda Larga Ideal
Política de privacidade","CONDIÇÕES GERAIS DA PRESTAÇÃO DO SERVIÇO DE COMUNICAÇÃO
MULTIMIDIA - BANDA LARGA
TERMOS E CONDIÇÕES - POLÍTICA DE PRIVACIDADE
SUMÁRIO DE CONTRATAÇÃO
DOS PLANOS - BANDA LARGA","Contrato de Prestação de Serviços TIM Live: Clique aqui e confira.
Regulamento TIM Live: Clique aqui e confira.","Contrato de Adesão
Privacidade
Termo Promocional Vivo Internet 10 Mbps
Informações Gerais de Preços e Valores Promocionais
"
M4,Date of access,01.06.2017 e 04.06.2017,01.06.2017 e 05.06.2017,"31.05.2017, 01.06.2017, 06.06.2017",01.06.2017 e 06.06.2017,01.06.2017,01.06.2017 e 08.06.2017,01.06.2017 e 09.06.2017
M5,Date of the terms of use,"Vigencia Regulamento 21/02/2017 a 31/08/2017
",,"SUMÁRIO DE CONTRATAÇÃO E REGULAMENTO DA PROMOÇÃO BANDA LARGA DA OI
ADESÃO DE 04/05/2017 a 27/06/2017",,"Condições Gerais - 08 de maio de 2015 (registro em cartório)
Sumario de Contratação - 20/09/2016","Contrato DE PRESTAÇÃO DE SERVIÇOS - 16/06/2016 (registro em cartório)
Regulamento TIM Live - Vigência datas diferentes
17/06/2015 a 31/03/2017
17/06/2016 a 16/06/2017","Contrato
01 de abril de 2016. (registro cartório)
Pol Priv
NA
Regulamentos
02 de Abril de 2016.
Data de adesão:De 02/04/2016 até 30/06/2016
Vigência:Até 31/12/2016"
M6,Total number of pages (per document),"Contrato de Prestação do Serviço - Banda Larga- 7 pp.
Politica de Uso Aceitável (PUA) - 5 pp
Regulamento Baixa Competição - 10 pp","Contrato de Prestação de Serviço: 21 pp
Política de privacidade NET: 2pp
PLANO DE SERVIÇO DO SERVIÇO DE COMUNICAÇÃO
MULTIMÍDIA DENOMINADO NET VÍRTUA 10Mbps: 6 pp
PLANO DE SERVIÇO DO SERVIÇO DE COMUNICAÇÃO
MULTIMÍDIA DENOMINADO NET VÍRTUA 2Mbps Internet Popular: 5 pp","CONTRATO DE ADESÃO À BANDA LARGA DA OI
CATEGORIA RESIDENCIAL - 15 pp
Politica de Uso Aceitável - 2pp
SUMÁRIO DE CONTRATAÇÃO E REGULAMENTO DA PROMOÇÃO BANDA LARGA DA OI - 18 pp
Política de segurança da informação - 3 pp","CONTRATO DE ADESÃO AO SERVIÇO BANDA LARGA DE ACESSO À INTERNET - 5 pp
ANEXO I
ACESSO RÁPIDO A PROVEDORES DE INTERNET - PLANO BANDA LARGA IDEAL - 2 pp
Política de Privacidade - 1 p
PROMOÇÃO BANDA LARGA IDEAL REGULAMENTO - 2 pp","CONDIÇÕES GERAIS DA PRESTAÇÃO DO SERVIÇO DE COMUNICAÇÃO
MULTIMIDIA - BANDA LARGA - 13
TERMOS E CONDIÇÕES - POLÍTICA DE PRIVACIDADE - 3 pp
SUMÁRIO DE CONTRATAÇÃO DOS PLANOS DE BANDA LARGA DA SKY - 3 pp","CONTRATO DE PRESTAÇÃO DE SERVIÇOS - 7 pp
Tim Live Regulamento Oferta TIM live – 17/06/2016 a 16/06/2017 - 7 pp","CONTRATO DE ADESÃO DE PRESTAÇÃO DO SERVIÇO TELEFÔNICO FIXO COMUTADO (STFC), DO SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA (SCM) E DO SERVIÇO DE ACESSO CONDICIONADO (TV POR ASSINATURA - SeAC). 33 pp (total) 23 (lidas - Cap I, II, IV)
INFORMAÇÕES GERAIS DE PREÇOS INTEGRAIS e VALORES PROMOCIONAIS - 4 pp
Privacidade - 2 pp
Termo Promocional - 2pp
"
M7,Total number of documents,3,4,4,4,3,2,4
,Legality and Presentation,,,,,,,
L1,Clicks necessary to open the terms of use,4,4,4,4,4,4,4
L2,Level of unintelligible excerpts,21,16,19,23,22,12,16
L3,Presence of terms definitions,15,19,24,10,2,8,Lista - 40 + 12
L5,"Citations to legislations, norms",2,3,5,1,2,7,8
L6,Citations to regulators,3,1,1,1,2,2,3
L7,"Format diversity (e.g. .doc/pdf, .ppt, video, html, para download, acessível no site, etc)",2,2,2,2,2,1,2
,Participation/ Awareness in Personal Data Protection,,,,,,,
P1,Information whether or not users' personal data will be collected,3,1,2,1,1,1,1
P2,Information on which data will be collected from user,3,2,3,2,1,1,1
P3,Information on whom the company shares users' personal data with,3,1,3,2,1,3,1
P4,Information on how long the company keeps users' personal data,3,3,1,3,1,3,1
P5,Consent requirement for personal data collection and use,3,2,3,1,2,3,1
P6,Kind of consent (only if P5 = 1),,,,,,,
P6A,Requirement of acceptance of the contract/agreement,1,1,1,2,1,1,1
P7,Commitment to notifying changes in the terms of use,2,2,2,2,1,1,1
P8,Commitment to obtaining users’ informed consent when using their personal data for a new or incompatible purpose,3,3,3,1,3,3,1
P9,Information on personal data necessary for provision of telecommunications access,3,3,1,2,1,1,1
P10,Commitment to deleting identifiable personal data as soon as it is not longer necessary to provide access to the user,3,3,1,3,3,3,1
P11,Commitment to ensuring that personal data is protected by state-of-the-art organisational and technical security measures,1,1,1,1,1,1,1
P12,Commitment to notifying users immediately if mandatory data retention orders is received,3,3,3,3,1,1,2
