,General Information,Algar,Claro,Oi,Sercomtel,Sky,Tim,Vivo
M1,Corporate name,Algar Telecom,Claro S.A.,Telemar Norte Leste S.A.,SERCOMTEL S.A. - TELECOMUNICAÇÕES,SKY SERVIÇOS DE BANDA LARGA LTDA,"TIM CELULAR S/A.,","TELEFÔNICA BRASIL S.A., "
M2,Link for terms of use,,,,,,,
M3,Link's lable,,,,,,,
M4,Date of access,,,,,,,
M5,Date of the terms of use,,,,,,,
M6,Total number of pages (per document),,,,,,,
M7,Total number of documents,,,,,,,
,Legality and Presentation,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory
(4) Absent information "
L1,Clicks necessary to open the terms of use,3,3,3,3,3,3,3
L2,Level of unintelligible excerpts,,,,,,,
L3,Presence of terms definitions,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory
(4) Absent information ","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory
(4) Absent information "
L5,"Citations to legislations, norms",3,3,3,3,3,1,3
L6,Citations to regulators,1,2,3,3,2,1,2
L7,"Format diversity (e.g. .doc/pdf, .ppt, video, html, para download, acessível no site, etc)",2,2,2,2,2,3,2
,Participation/ Awareness in Personal Data Protection,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Insatisfactory"
P1,Information whether or not users' personal data will be collected,3,3,3,3,3,3,3
P2,Information on which data will be collected from user,3,3,3,3,2,3,3
P3,Information on whom the company shares users' personal data with,3,3,3,3,3,3,3
P4,Information on how long the company keeps users' personal data,3,3,3,3,3,3,3
P5,Consent requirement for personal data collection and use,3,3,3,3,3,3,3
P6,Kind of consent (only if P5 = 1),"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory",3,"(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory","(1) Satisfactory
(2) Partially satisfactory
(3) Unsatisfactory",3
P6A,Requirement of acceptance of the contract/agreement,3,1,2,3,3,2,1
P7,Commitment to notifying changes in the terms of use,3,3,3,3,3,1,3
P8,Commitment to obtaining users’ informed consent when using their personal data for a new or incompatible purpose,3,3,3,3,3,3,2
P9,Information on personal data necessary for provision of telecommunications access,3,3,1,3,2,2,2
P10,Commitment to deleting identifiable personal data as soon as it is not longer necessary to provide access to the user,3,3,3,3,3,3,2
P11,Commitment to ensuring that personal data is protected by state-of-the-art organisational and technical security measures,2,2,3,3,2,2,2
P12,Commitment to notifying users immediately if mandatory data retention orders is received,3,3,3,3,2,2,3
P13,"Commitment to notifying individuals immediately if requests for access to subscriber data, or communications data or content are received",3,3,3,3,2,2,3
P14,Commitment to challenging data retention orders on behalf of the user until the domestic avenues been exhausted,3,3,3,3,2,3,3
P15,"Commitment to publishing, on a regular basis, information about personal and communications data and content that is disclosed to government authorities or other third parties",3,3,3,3,3,3,3
P16,Information on grievance or remediation mechanism for users to contest disclosures of personal data in violation of the terms of service,3,3,3,3,3,3,3
P17,"Commitment to providing affected users with full and comprehensive information about the personal data generated, retained and disclosed about them",3,3,3,3,3,3,3
P18,Commitment to providing guarantees that personal data has been deleted and that any third parties to whom personal data has been disclosed have been requested to delete the data,3,3,3,3,3,3,3
